#1
double Flow(8,2)
      0      12.0
   1.0	     12.0
      300      12.0
   500		12.0            
  2000       12.0            
  5534       12.0
  5734	      13.0
  7390		12.2
  7391		12.2          


double FlowOriginal(20,2)
      0      6
      1      1.3500000000000000E-02
   1059  1.3500000000000000E-02
   1074      61                
   1127      61                
   1128      36                
   1386      36                
   3325      40                
   3328      45                
   3840      45                
   3940      50                
   6065      50                
   6066      45                
   8028      45                
   8171       8                
   9024       8                
   9036       6                
  10333       5                
  24489       6                
  25000       6 
