#1
double THeater(17,2)
      0   276
      1   276
   2900   276
   2901  275
  11039  275
  11040  277
  12587  278
  12588  280
  12687  279
  12688  278
  12750  275
  12751  280
  12979  280
  12980  275
  13215  275
  13216  276
  25000  276

double THeateroriginal(17,2)
      0   276
      1   276
   2900   75
   2901  100
  11039  100
  11040  300
  12587  300
  12588  285
  12687  285
  12688  275
  12750  275
  12751  280
  12979  280
  12980  275
  13215  275
  13216  276
  25000  276
