#1
double T_GHX(6,2)
      0   116
      1	  116
    10800   100
    11700   100
   36000   100
   39800   116


double T_GHXoriginal(55,2)
      0   116
      1	  20
    104   21
    105   20
   9497   20
   9498   21
   9514   21
   9515   22
   9833   40
   9834   41
  10307   48
  10308   49
  10514   49
  10515   50
  12254   50
  12255   51
  14125   51
  14126   52
  15046   52
  15047   51
  16593   51
  16594   52
  21712   52
  21713   53
  22227   53
  22228   54
  22688   54
  22689   55
  22943   55
  22944   56
  23120   56
  23121   57
  23266   57
  23267   58
  23360   58
  23361   59
  23423   59
  23424   60
  23480   60
  23481   61
  23528   61
  23529   62
  23576   62
  23577   63
  23610   63
  23611   64
  24145   84
  24146   85
  24155   85
  24156   84
  24245   80
  24246   81
  24795  115
  24796  116
  25000  116
